Question,Response,Article Link
Adding new Admins,"1. To add new Admins to AttendanceBot, please head to your Settings Panel by sending the command ""settings"" to the bot.

2. Once you’re in your Settings Panel, please head to Settings-->Basic Settings page and scroll down to ""Other Settings"" section. You can then enter the username/select the names from the dropdown to add more admins.




",https://attendancebot.freshdesk.com/a/solutions/articles/17000093468
API Documentation,"AttendanceBot API uses unique team identifier and auth token to authenticate requests. API is in closed beta right now and we are rolling it out slowly. 



If you're interested, please write to Sarah@harmonizehq.com and we will add you to the beta list.



Leave Records API - To fetch leave records of employees.

GET https://www.attendancebot.com/api/report/leave/

Query Parameters

team - unique identifier of the workspace (required)
auth - authorization token (required)
from - start date range (optional), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard
to - end date range (optional), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard
department_id - to fetch leaves of a single department (optional)

Sample JSON Response

{
""data"": [
{
""Department Id"": 61,
""Remote Location"": """",
""Employee Name"": ""ABC XYZ"",
""Leave Type"": ""Annual"",
""Approved By"": ""PQRS XYZ"",
""Approved at"": ""02/04/2020"",
""Email"": ""ABC@email.com"",
""Department"": ""Support"",
""Department Name"": ""Support"",
""Leave Duration"": ""Full day"",
""Office"": ""LA"",
""Remark"": """",
""Leave Date"": ""06-04-2020""
}
],
""ok"": true
}

Response Codes

200 - Success
400 - Bad Input parameter




Leave Balance API - To fetch leave balance of employees.

GET https://www.attendancebot.com/api/leavebalance/

Query Parameters

team - unique identifier of the workspace (required)
auth - authorization token (required)
email - email address of the employee (optional)
leave_type - leave for which balance is needed (optional)
page - page number, incase fetching for full workspace (optional)

Sample JSON Response

{
""data"": [
{
""balances"": [
{
""balance"": 8,
""annual_leave_count"": 10,
""leave_type"": ""sick"",
""unlimited_balance"":false
}
],
""id"": 19,
""name"": ""ABC XYZ""
}
],
""next_page"": 5,
""page"": ""Page 4 of 9"",
""ok"": true
}

Response Codes

200 - Success
400 - Bad Input parameter




Department API - To fetch list of all departments.

GET https://www.attendancebot.com/api/departments/

Query Parameters

team - unique identifier of the workspace (required)
auth - authorization token (required)

Sample JSON Response

{
departments: [
{
id: 1,
name: ""Engineering""
},
{
id: 2,
name: ""Marketing""
},
{
id: 3,
name: ""Customer Success""
},
{
id: 4,
name: ""Design""
}
],
ok: true
}

Response Codes

200 - Success
400 - Bad Input parameter




Timesheet API - To fetch people hours.

GET https://www.attendancebot.com/api/report/people_timesheet/

Query Parameters

team - unique identifier of the workspace (required)
auth - authorization token (required)
from - from date (required), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard
to - to date (required), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard
email - email of employee (optional)

Sample JSON Response

{
ok: true,
data: [
{
total_hour_work: ""10 Hrs 30 Mins"",
name: ""Ronak Bansal"",
total_daily_overtime: ""00 Hrs 00 Mins"",
range_data: [
{
hours_worked: ""10:30"",
total_free_time: ""00:00"",
date: ""08/28/2020"",
overtime: ""00:00"",
single_day: ""Friday"",
day_month: ""28 Aug""
},
{
hours_worked: ""00:00"",
total_free_time: ""00:00"",
date: ""08/29/2020"",
overtime: ""00:00"",
single_day: ""Saturday"",
day_month: ""29 Aug""
},
{
hours_worked: ""00:00"",
total_free_time: ""00:00"",
date: ""08/30/2020"",
overtime: ""00:00"",
single_day: ""Sunday"",
day_month: ""30 Aug""
}
],
email: ""ronakbansal@gmail.com""
]
}
}

Response Codes

200 - Success
400 - Bad Input parameter



Punches API - To get detailed punches.

GET https://www.attendancebot.com/api/report/timesheet/

Query Parameters

team - unique identifier of the workspace (required)
auth - authorization token (required)
from - from date (required), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard
to - to date (required), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard

Sample JSON Response

{
ok: true,
data: 
[
{
Source: """",
Client: ""CLIENT1"",
Project: ""project1"",
Timestamp: ""28-08-2020 13:30:00"",
Action Type: ""In"",
Duration (HH:MM): """",
Employee Name: ""Ronak Bansal"",
Remark: """",
Total Day Duration (including lunch) (HH:MM): """"
},
{
Source: ""Day Change"",
Client: """",
Project: """",
Timestamp: ""28-08-2020 23:59:59"",
Action Type: ""Out"",
Duration (HH:MM): ""10:30"",
Employee Name: ""Ronak Bansal"",
Remark: """",
Total Day Duration (including lunch) (HH:MM): ""10:30""
},
{
Source: ""Day Change"",
Client: ""CLIENT1"",
Project: ""project1"",
Timestamp: ""29-08-2020 00:00:00"",
Action Type: ""In"",
Duration (HH:MM): """",
Employee Name: ""Ronak Bansal"",
Remark: """",
Total Day Duration (including lunch) (HH:MM): """"
}
]
}

Response Codes

200 - Success
400 - Bad Input parameter
",https://attendancebot.freshdesk.com/a/solutions/articles/17000109563
Applying & Deleting leaves : Quick summary,"APPLYING LEAVES



1. To understand how to apply for leaves, please head to this link for the help article

2. For Slack: Managers can also apply for a leave on behalf of their reportee by typing in the command ""Apply leave @Username"" and follow the steps mentioned in the help article above.





3. For MS teams: Managers can simply type in the command ""Apply leave @Username"" followed with the date and hitting ""Confirm""



Similar command can be entered by managers who are using G Chat





Please note, such leave requests don't go for approval as the manager is only applying for it.



DELETING LEAVES

1. Type in the command ""Delete"" into the AttendanceBot and it will populate all the upcoming leaves that can be deleted



Slack:



MS Teams: 







2. Please note that past leaves can only be deleted by managers. They can simply type in the command ""Delete @username"" and all the past & future leaves of the particular employee will be enlisted.



Slack:



MS teams:



G Chat:









Didn't find what you are looking for, just type dialm and we'll help you out right there.",https://attendancebot.freshdesk.com/a/solutions/articles/17000115833
Approval routing and multi-level approvals,"From Approval Settings on your dashboard, you can specify where approvals are routed, how many levels of approval you'd like, and whether each step of notification requires approval or simply fyi notice. These settings are particularly valuable for organizations with a central administrator OR large organizations that want additional approval controls.



Here's how to navigate the page:

Approvals versus Notifications
The Approvals flow governs all types of leave that require approval, while the Notifications flow governs types of leave that are auto-approved (require no approval).
However, note that within the approval flow, each additional level can be set as fyi-only, so you may use the approvals flow to configure multiple tiers of notifications rather than extending the approval process.
Levels
Levels must be turned ""on"" using the toggle to activate
Each level represents a contingent subsequent step, and only occurs once the prior level has been resolved. For approvals, this means that additional approvals are only sent after the prior approve has been complete, so no simultaneous approvals are possible.
Recipients
Manager: The default recipient is always ""manager"" and always refers to the prior level. Level 1 manager will always be the manager of the requesting users, and level 2 manager will be the manager of the level 1 approver, and so on up the hierarchy.
Custom: If you'd like a single specific users to be notified or approve, select the custom dropdown. This allows only one user per level, and is typically used to route approvals/fyis to a central admin or department lead, like HR, IT, or Finance.
Tip: 

video reference







Give this a try & let us know if you face any challenges setting these up by reaching out to our support team.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000121266
Configure Calendar Permissions,"To make sure users in your team have the right visibility to colleague leaves, calendars, and punch status, AttendanceBot admins can set viewing permissions right in the vacation calendar.

There are six viewing access options available to be configured, set independently for each of the three permission levels (admin, manager, reportee):

Company-wide: This is the default.. When enabled, users will be able to view the calendar for everyone in the company.
Department-wide: This will let users view the calendar of all the employees who are in the same department. (To set this up, first, create departments and then tag the employees with their respective departments).
Office-wide: This will let users view the calendar of all the employees who are in the same office. (To set this up, first, create offices and then tag the employees with their respective offices).
Tree Team-wide: This will let users view the calendar of their direct managers, direct peers, and tree reportees. Tree reportees are all the reportees of reportees till the last branch.
Team-wide: This will let users view the calendar of their direct managers and reportees.
Self only: This will let users view their own calendars only.


To configure for your team, head to the settings panel & navigate to the Vacation Management >> Calendar >> Configure button.





Select the desired configuration for each user type:





Once done then close the pop-up menu & the settings will be saved for your team. 



Give this a try & if you face any issues configuring this feel free to write to our support desk at sarah@harmonizehq.com.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000124502
Copy Shift,"1To Copy Shift created for a user in AttendanceBot, please head to your Settings Panel by typing settings to the bot. Once you are in the Settings Panel, please navigate to Time Tracking-->Shift Management-->Create & View shifts and there you will see a weekly view of the shifts created for different users in your team.

Follow these steps to Copy Shift created for a user :


1. Click on the Copy Shift button present right above the shifts view.





2. A dialogue box will open where you need to select a user from the dropdown list, for whom you wish to copy the shift, the SOURCE DATE and the TARGET DATE. You can also select a SHIFT ATTRIBUTE, if they are configured for your team. It will be visible as People, by default. It usually takes a couple of minutes to copy the shift and it will notify the user, on Slack, that his shift is copied.





Refer to this tutorial video for better understanding:





Note: To learn about the process of creating shifts for your team members, refer to this article. ",https://attendancebot.freshdesk.com/a/solutions/articles/17000092759
Future balance deduction against payroll versus instant deduction,"By default, AttendanceBot allows you a complete flexibility to apply leave on a future date (be it few months or next year) and leave balance is deducted at time of accrual period rather than instantaneously. 



How you can think about this default setting is that rather than deducting leave immediately, AttendanceBot keeps track and deducts only when the relevant payroll cycle runs. Here are a couple examples:



- For yearly accrual: if you request a date next year, the balance will be deducted from the next year's leave balance. If it's August and you wish to apply for leave in Jan next year, it will be deducted once the leave balance is accrued for the new year and not from current year's leave balance.



- For monthly accrual: if you request a date next month, the balance will be deducted when accrual runs next month. If it's January and you request September leave, balance won't be deducted until 1st Sep when accrual runs.





NOTE:

If you wish to turn this setting off, please reach out to our customer support team by typing ""dialm"" and submitting a ticket or visiting our website to initiate a chat with us. If turned off, leave balance will be deducted instantly at that very moment of approval.",https://attendancebot.freshdesk.com/a/solutions/articles/17000131738
Generate Report for a particular user in your team for a specific duration,"For Slack

1. To generate a report in AttendanceBot for a specific user of your team, please type the command report to the AttendanceBot. Select the report type as ""Timesheet Report"", duration as ""Custom"" & enter the

date range. 

Now, set the employee filter to specific user, select the employee from the dropdown list and hit Confirm.





2. You can download it by hovering over to the report and click on the Download button.





For MS Teams:

1. Type in the command ""report"" into the AttendanceBot and follow the prompt.



2. Select the report type as ""Timesheet Report"", duration as ""Custom"" & enter the date range. Now, set the employee filter to specific user, select the employee from the dropdown list and hit Generate.



3. Head to the generated link to view the report



",https://attendancebot.freshdesk.com/a/solutions/articles/17000093467
How do I change my credit card details?,"To update your credit card on file, please follow these steps:

1. Type settings as a direct message to the bot and click on the settings dashboard link to open your Settings Panel.


2. Once you are in your Settings Panel, navigate to the Settings-->Subscription page which contains all the relevant information about your subscription.

3. Click on the Update button which will redirect you to a new page where you can update your card information.
",https://attendancebot.freshdesk.com/a/solutions/articles/17000105338
How do I download past invoice or receipt?,"Please get in-touch with our support team by raising a ticket with us and starting a live chat. 

Just share the month or the invoice number and we will share it with you over email. 



How to check the invoice number for specific month?

Head to the settings dashboard by typing ""Settings"" as a direct message to the app and click on the link prompted. 

Settings tab --> subscription and you can find the invoice number for a specific month. 



If you want to retrieve a receipt, you can share the invoice number with us and we will sent it across.",https://attendancebot.freshdesk.com/a/solutions/articles/17000131565
