Question,Response,Article Link
How do we reach support?,"You can reach support one of 3 ways:

The best way to reach the support team is by saying ""dialm"" (our favorite) to AttendanceBot as a direct message (DM). This would connect you to someone on our team for a real time chat.
Send an email to support@attendancebot.freshdesk.com or hi@harmonizehq.com.
Since you are already here, you can simply click on ""New support ticket"" 
",https://attendancebot.freshdesk.com/a/solutions/articles/17000118264
How do I learn more about the product?,"You are at the right place. All of AttendanceBot functionality is documented on this support portal.



To get a quick list of commands, type ""help"" to AttendanceBot as a direct message (DM).





At a high level, AttendanceBot has two key functionalities.

Leave tracking - This lets you apply for time off, let you inform your team when you working from home or from a remote office. All of these features are documented in the Vacation Tracking section of all the respective platforms i.e Slack, MS Teams, G Chat 
Time tracking - This lets you clock-in and clock-out and track how much time you are sending at work. All of these features are documented in the Time Tracking section all the respective platforms i.e Slack, MS Teams, G Chat


You can reach our support team for any questions or suggestions.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000118265
API Documentation,"AttendanceBot API uses unique team identifier and auth token to authenticate requests. API is in closed beta right now and we are rolling it out slowly. 



If you're interested, please write to Sarah@harmonizehq.com and we will add you to the beta list.



Leave Records API - To fetch leave records of employees.

GET https://www.attendancebot.com/api/report/leave/

Query Parameters

team - unique identifier of the workspace (required)
auth - authorization token (required)
from - start date range (optional), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard
to - end date range (optional), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard
department_id - to fetch leaves of a single department (optional)

Sample JSON Response

{
""data"": [
{
""Department Id"": 61,
""Remote Location"": """",
""Employee Name"": ""ABC XYZ"",
""Leave Type"": ""Annual"",
""Approved By"": ""PQRS XYZ"",
""Approved at"": ""02/04/2020"",
""Email"": ""ABC@email.com"",
""Department"": ""Support"",
""Department Name"": ""Support"",
""Leave Duration"": ""Full day"",
""Office"": ""LA"",
""Remark"": """",
""Leave Date"": ""06-04-2020""
}
],
""ok"": true
}

Response Codes

200 - Success
400 - Bad Input parameter




Leave Balance API - To fetch leave balance of employees.

GET https://www.attendancebot.com/api/leavebalance/

Query Parameters

team - unique identifier of the workspace (required)
auth - authorization token (required)
email - email address of the employee (optional)
leave_type - leave for which balance is needed (optional)
page - page number, incase fetching for full workspace (optional)

Sample JSON Response

{
""data"": [
{
""balances"": [
{
""balance"": 8,
""annual_leave_count"": 10,
""leave_type"": ""sick"",
""unlimited_balance"":false
}
],
""id"": 19,
""name"": ""ABC XYZ""
}
],
""next_page"": 5,
""page"": ""Page 4 of 9"",
""ok"": true
}

Response Codes

200 - Success
400 - Bad Input parameter




Department API - To fetch list of all departments.

GET https://www.attendancebot.com/api/departments/

Query Parameters

team - unique identifier of the workspace (required)
auth - authorization token (required)

Sample JSON Response

{
departments: [
{
id: 1,
name: ""Engineering""
},
{
id: 2,
name: ""Marketing""
},
{
id: 3,
name: ""Customer Success""
},
{
id: 4,
name: ""Design""
}
],
ok: true
}

Response Codes

200 - Success
400 - Bad Input parameter




Timesheet API - To fetch people hours.

GET https://www.attendancebot.com/api/report/people_timesheet/

Query Parameters

team - unique identifier of the workspace (required)
auth - authorization token (required)
from - from date (required), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard
to - to date (required), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard
email - email of employee (optional)

Sample JSON Response

{
ok: true,
data: [
{
total_hour_work: ""10 Hrs 30 Mins"",
name: ""Ronak Bansal"",
total_daily_overtime: ""00 Hrs 00 Mins"",
range_data: [
{
hours_worked: ""10:30"",
total_free_time: ""00:00"",
date: ""08/28/2020"",
overtime: ""00:00"",
single_day: ""Friday"",
day_month: ""28 Aug""
},
{
hours_worked: ""00:00"",
total_free_time: ""00:00"",
date: ""08/29/2020"",
overtime: ""00:00"",
single_day: ""Saturday"",
day_month: ""29 Aug""
},
{
hours_worked: ""00:00"",
total_free_time: ""00:00"",
date: ""08/30/2020"",
overtime: ""00:00"",
single_day: ""Sunday"",
day_month: ""30 Aug""
}
],
email: ""ronakbansal@gmail.com""
]
}
}

Response Codes

200 - Success
400 - Bad Input parameter



Punches API - To get detailed punches.

GET https://www.attendancebot.com/api/report/timesheet/

Query Parameters

team - unique identifier of the workspace (required)
auth - authorization token (required)
from - from date (required), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard
to - to date (required), dd/mm/yyyy or mm/dd/yyyy based on your setting preference on AttendanceBot dashboard

Sample JSON Response

{
ok: true,
data: 
[
{
Source: """",
Client: ""CLIENT1"",
Project: ""project1"",
Timestamp: ""28-08-2020 13:30:00"",
Action Type: ""In"",
Duration (HH:MM): """",
Employee Name: ""Ronak Bansal"",
Remark: """",
Total Day Duration (including lunch) (HH:MM): """"
},
{
Source: ""Day Change"",
Client: """",
Project: """",
Timestamp: ""28-08-2020 23:59:59"",
Action Type: ""Out"",
Duration (HH:MM): ""10:30"",
Employee Name: ""Ronak Bansal"",
Remark: """",
Total Day Duration (including lunch) (HH:MM): ""10:30""
},
{
Source: ""Day Change"",
Client: ""CLIENT1"",
Project: ""project1"",
Timestamp: ""29-08-2020 00:00:00"",
Action Type: ""In"",
Duration (HH:MM): """",
Employee Name: ""Ronak Bansal"",
Remark: """",
Total Day Duration (including lunch) (HH:MM): """"
}
]
}

Response Codes

200 - Success
400 - Bad Input parameter
",https://attendancebot.freshdesk.com/a/solutions/articles/17000109563
How does timesheet approvals work?,"Managers can now seamlessly review and approve timesheets (weekly, biweekly, or monthly) of their reportees. You can find the timesheet approval page in the Time Tracking section of the settings dashboard. 







To review timesheets for individual employees, click on the ""Expand"" button present on the employee tile and select the period for which you would like to review the punches. Expanding each period you'll find daily summaries, and choosing to ""Review"" each day will show individual employee punches, similar to the Edit Timesheet screen. These tiers allow you to quickly zoom in and out of timesheet ranges to review and investigate.







To approve timesheets just click on the ""Approve timesheet"" button for that specific pay period, which locks the timesheet from further editing. You'll have the option to bulk approve across employees or across multiple timesheets for a given employee by selecting ""Approve all selected"" 



Note: the ""timesheet tenure"" toggle near the top differentiates timesheets with separate approval cycles. If you have only one approval cycle (e.g. weekly) then you should only see the one option and can safely ignore. If you have multiple - e.g. employees across regions with weekly, biweekly, and monthly overtime calculation rules - then you'll need to toggle between these periods to view and approved relevant timesheets by cycle.





Finally, you can reference historical approved timesheets in the approval log, which is the second tab of the approval page. The approval log is identical in format, but is purely for view access.



Once the approval process is complete, csv reporting with identify approval data as well. 







Note: You can turn on automatic manager alerts for unapproved timesheets, but currently this setting must be enabled by our internal team. Feel free to request by emailing sarah@harmonizehq.com, chatting support, or contacting our team on any channel.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000134394
Adding new Admins,"1. To add new Admins to AttendanceBot, please head to your Settings Panel by sending the command ""settings"" to the bot.

2. Once you’re in your Settings Panel, please head to Settings-->Basic Settings page and scroll down to ""Other Settings"" section. You can then enter the username/select the names from the dropdown to add more admins.




",https://attendancebot.freshdesk.com/a/solutions/articles/17000093468
Shift Management(Create Shifts for your team),"To create shifts for your team members in AttendanceBot, head to your Settings Panel by sending in the command settings to the bot and follow the link. Once you're in please navigate to Time Tracking-->Shift Management--> Create & View shifts page and follow these steps to create a new shift for a particular member of your team :

1. Click on a date against a particular user for whom you wish to create a shift.

2. A new dialogue box will open where you can set the shift START TIME and END TIME. You can also setup SHIFT REPEAT for the shift to repeat on particular day(s) for the next week or month.




3. Once the shift is created in AttendanceBot, the user will be notified on Slack that a new shift has been assigned to him.



4. You can see the Shifts as a Monthly, Weekly Or Daily view, by selecting the appropriate value from the View dropdown.







Refer to this tutorial video for better understanding:






Note : Once the shifts are created in AttendanceBot, you can also copy the shift to another user in your team

",https://attendancebot.freshdesk.com/a/solutions/articles/17000092410
Copy Shift,"1To Copy Shift created for a user in AttendanceBot, please head to your Settings Panel by typing settings to the bot. Once you are in the Settings Panel, please navigate to Time Tracking-->Shift Management-->Create & View shifts and there you will see a weekly view of the shifts created for different users in your team.

Follow these steps to Copy Shift created for a user :


1. Click on the Copy Shift button present right above the shifts view.





2. A dialogue box will open where you need to select a user from the dropdown list, for whom you wish to copy the shift, the SOURCE DATE and the TARGET DATE. You can also select a SHIFT ATTRIBUTE, if they are configured for your team. It will be visible as People, by default. It usually takes a couple of minutes to copy the shift and it will notify the user, on Slack, that his shift is copied.





Refer to this tutorial video for better understanding:





Note: To learn about the process of creating shifts for your team members, refer to this article. ",https://attendancebot.freshdesk.com/a/solutions/articles/17000092759
Generate Report for a particular user in your team for a specific duration,"For Slack

1. To generate a report in AttendanceBot for a specific user of your team, please type the command report to the AttendanceBot. Select the report type as ""Timesheet Report"", duration as ""Custom"" & enter the

date range. 

Now, set the employee filter to specific user, select the employee from the dropdown list and hit Confirm.





2. You can download it by hovering over to the report and click on the Download button.





For MS Teams:

1. Type in the command ""report"" into the AttendanceBot and follow the prompt.



2. Select the report type as ""Timesheet Report"", duration as ""Custom"" & enter the date range. Now, set the employee filter to specific user, select the employee from the dropdown list and hit Generate.



3. Head to the generated link to view the report



",https://attendancebot.freshdesk.com/a/solutions/articles/17000093467
Inactivate users on AttendanceBot,"1. To inactivate the non-relevant users in AttendanceBot, head to your Settings Panel by punching in the command settings to the AttendanceBot.


2. Once you’re in the Settings Panel, please navigate to People-->Personnel page and you’ll see the list of users in your team. You can then inactivate the concerned user by switching the toggle to ""Inactive"" present against his/her name, in the Status column.




3. To view the inactive members in your team, switch the toggle OFF for ""Show active Personnel only""


4. You can switch the toggle back to ""Active"" to reactivate the respective user.



",https://attendancebot.freshdesk.com/a/solutions/articles/17000093807
How do I setup lunch hours for my team?,"1. To setup lunch hours in AttendanceBot, head to your Settings Panel by typing settings to AttendanceBot.

2. Once you are in, please head to the Time Tracking-->General Time Settings page and scroll down to configure the following :

Lunch Duration in Minute.

Break duration in minute

Include lunch in work hours

Include breaks in work hours",https://attendancebot.freshdesk.com/a/solutions/articles/17000093813
