Question,Link,Platform,Long Answer
How do I install AttendanceBot in Slack?,https://attendancebot.freshdesk.com/a/solutions/articles/17000118255,Slack,"Add the bot to Slack by searching for ""AttendanceBot"" under Apps, clicking ""Add to Slack"" and follow the prompts.

2. Once added, the app on-boards the admin and asks permission to introduce itself to the team. We would recommend you say yes.

3. Now everyone would get a direct message from AttendanceBot and they can start using the AttendanceBot for leave tracking and time tracking.





Tip 1: We suggest that you create a special channel in Slack for announcing your team's attendance. Once the channel is created, just invite AttendanceBot by typing the command ""/invite @attendancebot"" in the new channel.
Tip 2: Say ""help"" to know the commands and when you get stuck say ""dialm"" to connect with someone on our team who would help you through live chat.


If you wish to invite your team, here's an article you can follow

"
How do I invite my team to start using AttendanceBot?,https://attendancebot.freshdesk.com/a/solutions/articles/17000115576,Slack,"AttendanceBot syncs up with Slack and you can find the profile of your employees on the settings panel. 



Here's how you can find your teammates in 2 simple steps:



1) Please open the settings panel by typing ""Settings"" as a direct message to AttendanceBot and click on the URL prompted. Once you open the dashboard, please head to people --> personnel tab. 





2) Please toggle off ""Show active personnel only"" button. 







You can then look up the profile by typing their name on the search bar and click on ""active"" button present on the profile tile.





Note: If you wish to activate the profiles of the new joinees in your Slack workspace, please go to the basic settings tab --> other settings --> switch on ""Activate new users"" tab and they will be able to use AttendanceBot. 





If you still are unable to find your teammate, please type ""dialm"" and open a support ticket with us and we will look up for you





To setup managers for your employees, you can follow this article"
How do I assign manager to my employees?,https://attendancebot.freshdesk.com/a/solutions/articles/17000132179,Slack,"You can assign the manager using the settings panel. 

1) Just click on this link and open the profile of the employee. 



2) Select the manager name from the dropdown menu and hit save. 





You have now assigned the manager to your employee. 



If you wish to change the manager, please type ""Change manager @username"" and select the name from the dropdown menu





Note:

If you wish to restrict your employee from changing their manager, you can do that on the settings panel. 



"
How do I add my manager?,https://attendancebot.freshdesk.com/a/solutions/articles/17000052712,Slack,"Setting up approval workflows with AttendanceBot is super easy. Employees can set the manager to themselves or add a manager. 



- Adding manager for the 1st time:

When you create your first vacation request, AttendanceBot will ask you to add your manager. You can either select ""Self"" if you don't have any manager or select the name of the manager from the dropdown menu.



- Changing the manager

1) You can also change your manager anytime by typing 'change manager' and select the name from dropdown menu





2. Once set, your subsequent vacation requests will go to your manager for approvals.



"
How do I find my missing employee profile on the dashboard? (Slack),https://attendancebot.freshdesk.com/a/solutions/articles/17000131680,Slack,"AttendanceBot syncs with your platform and identifies employees using that workspace. While you're not able to add an employee if they're not present in the workspace already, if you have added an employee to your workspace and it's not showing up on the dashboard, here's a quick troubleshoot: 



1) From the ""Settings"" panel, head to people --> personnel



2) Toggle off ""Show active personnel only""



3) If you are able to find their profile, check ""active"" at the right. If you are UNABLE to find their profile, click the top teal ""RE-SYNC"" button and wait 1-4 hours before retrying this process or contacting support. 



"
How do I update timezone for my employee in AttendanceBot(Slack)?,https://attendancebot.freshdesk.com/a/solutions/articles/17000093806,Slack,"AttendanceBot automatically picks up the Timezone of the users directly from their Slack account. If you want to update your Timezone, please follow the steps below :

1. From your desktop, click your workspace name on the top right hand side of your screen.



2. Choose the ""Preferences"" tab from the dropdown list.



3. Click on the ""Language & Region"" tab and select the timezone of your choice.



"
How do I deactivate a user in AttendanceBot?,https://attendancebot.freshdesk.com/a/solutions/articles/17000131681,Slack,"In case you'd like to prevent employees from interacting and using AttendanceBot, deactivating is simple:



1) Open the settings panel by typing ""Settings"" as a direct message to AttendanceBot and click on the link prompted.



2) Once you open the dashboard, please head to people --> personnel tab --> find the employee using search or scroll



3) Click the ""Inactive"" toggle present on the right of the profile tile



NOTE: by default AttendanceBot hides already inactive employees, but this can be changed using the toggle at the top.



These employees wont be able to use the app then.

"
How do I setup channel notifications in Slack?,https://attendancebot.freshdesk.com/a/solutions/articles/17000118249,Slack,"Looking for real-time updates about team activity? Want to notify channels about key upcoming events for members? AttendanceBot can help you precisely by giving you all the alert, announcement, and notification tools you need, where you need them.



Popular alerts include:

Upcoming vacation or wfo/wfh for the week
Birthdays and workaversaries
Availability - who’s in, out, lunching, or breaking
Alerts when overtime is assigned, or key shifts are reassigned


Please make sure AttendanceBot is added to the channel for it to make announcement. 

To add AttendanceBot to a a specific channel, please type ""/invite @attendancebot"" and it will be added



If you want to have announcement for team separately, we recommend you to create multiple channels for different teams and invite @attendancebot there. 



You can check out the different channel notification by clicking on ""Create new"" on this link. 





Here is a quick video to demonstrate how you could set up channel level notification using the AttendanceBot.




"
How long is my AttendanceBot trial?,https://attendancebot.freshdesk.com/a/solutions/articles/17000115577,Slack,"Slack/ Microsoft Teams/ Hangout



AttendanceBot comes with a 14 day free trial on Slack, Microsoft Teams and Google chat. Admin of the account will receive a DM from the app once you approach the end of the trial. 





In case you don't use the above platforms, AttendanceBot is available in a Web version too. 

The trial period for AttendanceBot Web is 30 days



You can check out our pricing plans by clicking on this link - https://www.attendancebot.com/pricing/



NOTE: We won't auto-charge your credit card after the trial period is over. We explicitly ask you to subscribe to the app."
Can I review all the managers and reportees?,https://attendancebot.freshdesk.com/a/solutions/articles/17000063987,Slack,"Yes you can! Just type 'org chart' and you'll be able to download the org summary that details who has set up who as their manager. 







The org chart would looks something like the following:





If you wish to change the manager of your employee, just follow this article

"
